"movieId","userId","rating","tmdbId","imdbId"
1,601,"like",862,114709
1,606,"like",862,114709
1,608,"like",862,114709
1,610,"like",862,114709
1,607,"like",862,114709
1,599,"like",862,114709
1,604,"like",862,114709
1,600,"like",862,114709
1,605,"like",862,114709
1,603,"like",862,114709
1,609,"like",862,114709
2,608,"dislike",8844,113497
2,604,"like",8844,113497
2,605,"like",8844,113497
2,602,"like",8844,113497
2,600,"like",8844,113497
2,599,"like",8844,113497
3,599,"dislike",15602,113228
3,608,"dislike",15602,113228
4,600,"dislike",31357,114885
5,600,"like",11862,113041
5,604,"like",11862,113041
6,602,"like",949,113277
6,610,"like",949,113277
6,604,"like",949,113277
6,603,"like",949,113277
6,599,"like",949,113277
7,600,"like",11860,114319
7,599,"like",11860,114319
7,606,"like",11860,114319
9,599,"dislike",9091,114576
10,609,"like",710,113189
10,602,"like",710,113189
10,599,"like",710,113189
10,608,"like",710,113189
11,602,"like",9087,112346
11,599,"like",9087,112346
11,606,"like",9087,112346
11,607,"like",9087,112346
12,599,"dislike",12110,112896
14,604,"like",10858,113987
14,602,"like",10858,113987
15,599,"dislike",1408,112760
15,606,"like",1408,112760
16,603,"like",524,112641
16,599,"like",524,112641
16,610,"like",524,112641
16,602,"like",524,112641
16,608,"like",524,112641
17,599,"like",4584,114388
17,604,"like",4584,114388
17,600,"like",4584,114388
17,606,"like",4584,114388
17,603,"like",4584,114388
18,606,"like",5,113101
18,599,"like",5,113101
19,600,"like",9273,112281
19,599,"like",9273,112281
19,602,"dislike",9273,112281
19,606,"dislike",9273,112281
19,604,"dislike",9273,112281
19,608,"dislike",9273,112281
20,599,"dislike",11517,113845
21,599,"like",8012,113161
21,603,"like",8012,113161
21,602,"like",8012,113161
21,608,"like",8012,113161
22,602,"like",1710,112722
22,604,"like",1710,112722
23,599,"dislike",9691,112401
23,604,"like",9691,112401
24,599,"like",12665,114168
24,600,"dislike",12665,114168
24,608,"dislike",12665,114168
25,604,"like",451,113627
25,603,"like",451,113627
25,602,"like",451,113627
25,607,"like",451,113627
26,599,"like",16420,114057
28,606,"like",17015,114117
28,605,"like",17015,114117
28,603,"like",17015,114117
29,606,"like",902,112682
29,603,"dislike",902,112682
29,599,"like",902,112682
29,600,"like",902,112682
29,602,"dislike",902,112682
30,603,"like",37557,115012
31,599,"dislike",9909,112792
31,608,"like",9909,112792
32,603,"like",63,114746
32,610,"like",63,114746
32,608,"like",63,114746
32,602,"like",63,114746
32,606,"like",63,114746
32,604,"like",63,114746
32,599,"like",63,114746
32,600,"like",63,114746
34,602,"dislike",9598,112431
34,604,"like",9598,112431
34,603,"like",9598,112431
34,600,"dislike",9598,112431
34,607,"like",9598,112431
34,608,"like",9598,112431
36,602,"like",687,112818
36,606,"like",687,112818
36,607,"like",687,112818
36,603,"like",687,112818
39,600,"like",9603,112697
39,599,"like",9603,112697
39,602,"like",9603,112697
39,604,"like",9603,112697
39,603,"like",9603,112697
39,608,"like",9603,112697
41,599,"like",31174,114279
42,599,"like",11443,112819
43,599,"like",35196,114272
44,608,"dislike",9312,113855
44,599,"like",9312,113855
45,602,"like",577,114681
45,599,"like",577,114681
45,603,"like",577,114681
46,606,"like",11861,113347
46,600,"like",11861,113347
47,606,"like",807,114369
47,599,"like",807,114369
47,601,"like",807,114369
47,610,"like",807,114369
47,602,"like",807,114369
47,608,"like",807,114369
47,600,"like",807,114369
48,608,"dislike",10530,114148
50,606,"like",629,114814
50,602,"like",629,114814
50,601,"like",629,114814
50,608,"like",629,114814
50,599,"like",629,114814
50,610,"like",629,114814
52,600,"like",11448,113819
52,602,"like",11448,113819
52,599,"like",11448,113819
52,603,"dislike",11448,113819
53,603,"like",49133,110299
57,603,"dislike",9089,113321
57,599,"like",9089,113321
58,606,"like",11010,110877
58,603,"like",11010,110877
60,604,"like",11359,113419
60,599,"dislike",11359,113419
61,599,"like",17182,116260
62,604,"like",2054,113862
62,603,"dislike",2054,113862
62,600,"like",2054,113862
63,608,"dislike",10607,116126
65,608,"dislike",9536,115683
65,599,"dislike",9536,115683
68,606,"like",4482,113149
69,599,"like",10634,113118
70,603,"like",755,116367
70,606,"like",755,116367
70,599,"like",755,116367
70,610,"like",755,116367
70,608,"like",755,116367
72,600,"dislike",28387,113537
73,605,"like",48750,113828
73,606,"like",48750,113828
73,599,"like",48750,113828
73,600,"like",48750,113828
75,599,"dislike",36929,115676
76,604,"like",9102,114367
76,599,"like",9102,114367
77,603,"like",124626,113973
79,599,"dislike",9623,116731
80,606,"like",46785,112445
81,599,"like",400,114660
82,603,"dislike",880,112379
82,606,"like",880,112379
85,603,"like",8447,112365
86,607,"like",10534,118158
87,599,"dislike",17414,116151
88,599,"dislike",13997,115697
88,608,"like",13997,115697
89,599,"like",2086,113972
92,606,"like",9095,117002
92,604,"like",9095,117002
93,608,"like",12158,114825
93,599,"dislike",12158,114825
95,604,"like",9208,115759
95,610,"like",9208,115759
95,602,"like",9208,115759
95,599,"dislike",9208,115759
95,608,"dislike",9208,115759
97,599,"like",406,113247
97,603,"like",406,113247
99,603,"like",63076,113283
100,602,"like",11062,115907
100,599,"dislike",11062,115907
101,603,"like",13685,115734
101,600,"like",13685,115734
101,599,"like",13685,115734
104,604,"like",9614,116483
104,599,"like",9614,116483
104,608,"like",9614,116483
104,600,"like",9614,116483
105,603,"dislike",688,112579
105,606,"like",688,112579
105,604,"dislike",688,112579
107,608,"like",10874,117110
108,603,"like",89333,112646
110,599,"like",197,112573
110,604,"like",197,112573
110,608,"like",197,112573
110,610,"like",197,112573
110,606,"like",197,112573
110,609,"like",197,112573
110,607,"like",197,112573
110,600,"dislike",197,112573
110,605,"like",197,112573
110,603,"dislike",197,112573
110,602,"like",197,112573
111,608,"like",103,75314
111,610,"like",103,75314
111,603,"like",103,75314
111,606,"like",103,75314
111,599,"like",103,75314
111,604,"like",103,75314
112,603,"like",33542,113326
112,607,"dislike",33542,113326
112,604,"like",33542,113326
112,599,"like",33542,113326
112,610,"like",33542,113326
116,609,"like",51352,112373
117,604,"like",16934,115033
121,603,"like",32119,106473
123,603,"like",11104,109424
125,603,"like",2074,116324
125,602,"like",2074,116324
137,609,"like",5757,113756
140,606,"like",9302,118055
141,602,"like",11000,115685
141,608,"like",11000,115685
141,599,"like",11000,115685
141,600,"like",11000,115685
144,602,"like",16388,112585
144,599,"like",16388,112585
145,599,"like",9737,112442
145,603,"like",9737,112442
145,608,"like",9737,112442
145,600,"like",9737,112442
147,606,"like",10474,112461
147,599,"like",10474,112461
149,603,"dislike",30157,109093
150,600,"dislike",568,112384
150,609,"like",568,112384
150,608,"dislike",568,112384
150,602,"like",568,112384
150,607,"like",568,112384
150,605,"like",568,112384
150,599,"like",568,112384
151,600,"like",11780,114287
151,602,"like",11780,114287
151,604,"like",11780,114287
153,599,"dislike",414,112462
153,604,"like",414,112462
153,610,"like",414,112462
153,608,"like",414,112462
153,602,"like",414,112462
153,607,"like",414,112462
153,603,"dislike",414,112462
153,605,"like",414,112462
154,606,"like",649,61395
155,599,"like",1873,112495
156,603,"dislike",5894,112541
156,606,"like",5894,112541
157,606,"like",1775,109370
157,599,"dislike",1775,109370
158,602,"like",8839,112642
158,599,"dislike",8839,112642
158,608,"dislike",8839,112642
158,604,"like",8839,112642
159,599,"like",20649,112688
159,610,"like",20649,112688
159,606,"like",20649,112688
160,599,"like",10329,112715
160,608,"like",10329,112715
160,602,"like",10329,112715
160,600,"like",10329,112715
161,609,"like",8963,112740
161,599,"like",8963,112740
161,602,"like",8963,112740
161,600,"dislike",8963,112740
162,603,"like",26564,109508
163,603,"like",8068,112851
163,602,"like",8068,112851
163,599,"like",8068,112851
163,608,"like",8068,112851
164,603,"like",8512,112857
164,602,"like",8512,112857
164,599,"like",8512,112857
165,599,"like",1572,112864
165,607,"like",1572,112864
165,600,"like",1572,112864
165,602,"like",1572,112864
165,604,"like",1572,112864
166,603,"like",13552,112887
168,608,"dislike",6520,113071
168,606,"like",6520,113071
168,604,"like",6520,113071
168,599,"dislike",6520,113071
169,604,"like",9073,113114
170,602,"like",10428,113243
170,608,"like",10428,113243
170,599,"like",10428,113243
170,604,"like",10428,113243
171,602,"like",17447,113464
172,602,"like",9886,113481
172,603,"dislike",9886,113481
172,608,"like",9886,113481
172,600,"dislike",9886,113481
172,606,"like",9886,113481
172,604,"dislike",9886,113481
172,599,"dislike",9886,113481
173,599,"like",9482,113492
173,608,"like",9482,113492
173,602,"like",9482,113492
173,604,"like",9482,113492
174,608,"dislike",19326,113500
175,606,"like",9344,113540
175,603,"like",9344,113540
175,599,"like",9344,113540
176,602,"like",9071,113677
176,603,"like",9071,113677
177,604,"like",8973,113690
180,608,"like",2293,113749
180,599,"like",2293,113749
181,608,"dislike",9070,113820
181,599,"dislike",9070,113820
181,600,"like",9070,113820
181,604,"like",9070,113820
183,604,"like",48787,110604
184,604,"like",34574,110620
184,603,"like",34574,110620
185,604,"like",1642,113957
185,608,"like",1642,113957
185,602,"like",1642,113957
185,600,"like",1642,113957
185,609,"like",1642,113957
185,599,"like",1642,113957
186,599,"dislike",11472,113986
186,604,"like",11472,113986
186,600,"like",11472,113986
187,603,"like",36196,114095
188,607,"like",11980,114194
188,599,"like",11980,114194
188,604,"like",11980,114194
188,608,"like",11980,114194
190,603,"like",32646,114323
191,599,"dislike",10533,114345
193,599,"dislike",10802,114436
193,604,"like",10802,114436
193,608,"like",10802,114436
193,603,"like",10802,114436
193,600,"dislike",10802,114436
193,602,"dislike",10802,114436
194,603,"like",10149,114478
194,602,"dislike",10149,114478
194,610,"like",10149,114478
194,606,"like",10149,114478
195,599,"dislike",18402,114496
195,600,"dislike",18402,114496
196,608,"like",9348,114508
196,604,"like",9348,114508
196,599,"like",9348,114508
198,602,"like",281,114558
198,599,"like",281,114558
198,606,"like",281,114558
199,603,"like",5967,58450
202,606,"like",36834,114702
203,599,"like",9090,114682
203,608,"like",9090,114682
203,600,"like",9090,114682
204,607,"like",3512,114781
204,602,"like",3512,114781
205,603,"like",52856,114798
206,603,"like",77350,114805
207,606,"like",9560,114887
207,603,"like",9560,114887
207,599,"like",9560,114887
208,599,"like",9804,114898
208,600,"dislike",9804,114898
208,609,"like",9804,114898
208,602,"like",9804,114898
208,607,"like",9804,114898
208,608,"like",9804,114898
208,604,"like",9804,114898
209,599,"like",31611,114928
210,599,"dislike",65796,114938
214,603,"like",19155,110882
215,610,"like",76,112471
215,606,"like",76,112471
215,602,"like",76,112471
215,603,"like",76,112471
215,599,"like",76,112471
216,608,"like",11017,112508
216,600,"like",11017,112508
216,599,"like",11017,112508
218,599,"dislike",9382,112571
220,604,"like",18256,112643
223,608,"like",2292,109445
223,606,"like",2292,109445
223,603,"like",2292,109445
223,600,"like",2292,109445
223,599,"like",2292,109445
223,604,"like",2292,109445
224,606,"like",1909,112883
224,602,"like",1909,112883
224,604,"like",1909,112883
225,600,"dislike",8984,109635
225,602,"like",8984,109635
225,606,"like",8984,109635
229,599,"like",10531,109579
229,602,"like",10531,109579
229,606,"like",10531,109579
230,602,"like",11929,109642
230,599,"dislike",11929,109642
231,608,"like",8467,109686
231,610,"like",8467,109686
231,609,"like",8467,109686
231,602,"dislike",8467,109686
231,606,"like",8467,109686
231,600,"like",8467,109686
231,599,"like",8467,109686
232,603,"like",10451,111797
232,606,"like",10451,111797
233,604,"like",20156,109759
233,599,"like",20156,109759
233,603,"like",20156,109759
234,599,"dislike",18395,109758
235,603,"like",522,109707
235,599,"like",522,109707
235,602,"like",522,109707
235,606,"like",522,109707
235,604,"like",522,109707
236,599,"like",397,113117
236,606,"like",397,113117
237,600,"dislike",10525,113097
237,599,"dislike",10525,113097
237,604,"like",10525,113097
239,600,"dislike",15789,113198
240,599,"dislike",27303,113303
241,607,"like",21183,113089
246,602,"like",14275,110057
246,603,"like",14275,110057
247,600,"like",1024,110005
248,599,"dislike",17207,110066
249,603,"dislike",13701,110116
250,599,"dislike",14819,110006
252,600,"dislike",11777,110099
252,608,"like",11777,110099
252,599,"dislike",11777,110099
252,602,"like",11777,110099
253,609,"like",628,110148
253,603,"like",628,110148
253,602,"like",628,110148
253,604,"like",628,110148
253,599,"like",628,110148
253,600,"like",628,110148
253,608,"like",628,110148
256,599,"dislike",6280,110216
256,600,"dislike",6280,110216
260,600,"like",11,76759
260,607,"like",11,76759
260,602,"like",11,76759
260,610,"like",11,76759
260,606,"like",11,76759
260,608,"like",11,76759
260,603,"like",11,76759
260,605,"like",11,76759
260,599,"like",11,76759
261,604,"like",9587,110367
261,600,"like",9587,110367
261,606,"like",9587,110367
261,603,"like",9587,110367
262,600,"like",19101,113670
262,599,"like",19101,113670
263,606,"like",49980,110296
265,603,"dislike",18183,103994
265,606,"like",18183,103994
265,604,"like",18183,103994
266,600,"like",4476,110322
266,602,"like",4476,110322
266,606,"like",4476,110322
267,604,"like",11008,110443
267,599,"dislike",11008,110443
269,603,"like",32325,107566
270,599,"dislike",43742,110391
272,604,"like",11318,110428
273,604,"like",3036,109836
274,599,"dislike",40490,113755
276,599,"like",8986,110516
276,608,"like",8986,110516
277,608,"like",10510,110527
277,600,"dislike",10510,110527
277,599,"dislike",10510,110527
277,604,"like",10510,110527
278,603,"dislike",17402,113808
280,602,"like",8438,113870
281,599,"like",11593,110684
281,602,"like",11593,110684
282,606,"like",1945,110638
282,600,"like",1945,110638
282,602,"dislike",1945,110638
282,599,"dislike",1945,110638
285,604,"like",56428,106402
288,603,"like",241,110632
288,608,"like",241,110632
288,604,"like",241,110632
288,606,"like",241,110632
288,599,"like",241,110632
288,602,"like",241,110632
288,609,"like",241,110632
290,603,"like",527,110729
290,602,"like",527,110729
292,608,"like",6950,114069
292,600,"like",6950,114069
292,602,"like",6950,114069
292,604,"like",6950,114069
292,607,"like",6950,114069
292,599,"like",6950,114069
292,609,"like",6950,114069
293,608,"like",101,110413
293,606,"like",101,110413
293,599,"like",101,110413
293,603,"dislike",101,110413
293,610,"like",101,110413
293,604,"like",101,110413
293,602,"like",101,110413
296,599,"like",680,110912
296,607,"like",680,110912
296,605,"dislike",680,110912
296,603,"like",680,110912
296,606,"like",680,110912
